Record Length,16384
Sample Interval,CH1:0.0400000000000 CH2:0.0400000000000
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,50.0000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-321.07997500000,-0.36800,0.00
-321.04000000000,-0.36400,0.00
-321.00000000000,-0.36400,0.00
-320.96000000000,-0.36800,0.00
-320.92002500000,-0.36400,0.00
-320.88000000000,-0.35600,0.00
-320.84000000000,-0.35600,0.00
-320.80000000000,-0.35600,0.00
-320.76000000000,-0.36400,0.00
-320.72000000000,-0.36000,0.00
-320.68000000000,-0.35600,0.00
-320.64002500000,-0.35600,0.00
-320.60000000000,-0.34800,0.00
-320.56000000000,-0.35200,0.00
-320.52000000000,-0.36000,0.00
-320.48000000000,-0.36000,0.00
-320.44000000000,-0.36400,0.00
-320.40000000000,-0.36000,0.00
-320.35997500000,-0.36000,0.00
-320.32000000000,-0.36000,0.00
-320.28000000000,-0.36000,0.00
-320.24000000000,-0.35600,0.00
-320.20000000000,-0.36400,0.00
-320.16000000000,-0.36400,0.00
-320.12000000000,-0.36000,0.00
-320.07997500000,-0.36400,0.00
-320.04000000000,-0.36800,0.00
-320.00000000000,-0.35600,0.00
-319.96000000000,-0.36400,0.00
-319.92002500000,-0.36800,0.00
-319.88000000000,-0.36400,0.00
-319.84000000000,-0.36000,0.00
-319.80000000000,-0.36000,0.00
-319.76000000000,-0.35200,0.00
-319.72000000000,-0.36000,0.00
-319.68000000000,-0.36000,0.00
-319.64002500000,-0.35200,0.00
-319.60000000000,-0.35600,0.00
-319.56000000000,-0.35600,0.00
-319.52000000000,-0.35600,0.00
-319.48000000000,-0.35200,0.00
-319.44000000000,-0.36000,0.00
-319.40000000000,-0.35600,0.00
-319.35997500000,-0.36400,0.00
-319.32000000000,-0.35200,0.00
-319.28000000000,-0.35600,0.00
-319.24000000000,-0.35200,0.00
-319.20000000000,-0.35600,0.00
-319.16000000000,-0.36000,0.00
-319.12000000000,-0.36400,0.00
-319.07997500000,-0.36400,0.00
-319.04000000000,-0.36400,0.00
-319.00000000000,-0.36400,0.00
-318.96000000000,-0.36400,0.00
-318.92002500000,-0.35600,0.00
-318.88000000000,-0.35600,0.00
-318.84000000000,-0.35600,0.00
-318.80000000000,-0.35600,0.00
-318.76000000000,-0.35600,0.00
-318.72000000000,-0.35600,0.00
-318.68000000000,-0.35600,0.00
-318.64002500000,-0.35600,0.00
-318.60000000000,-0.35200,0.00
-318.56000000000,-0.35600,0.00
-318.52000000000,-0.35600,0.00
-318.48000000000,-0.36000,0.00
-318.44000000000,-0.36400,0.00
-318.40000000000,-0.35600,0.00
-318.35997500000,-0.36000,0.00
-318.32000000000,-0.36400,0.00
-318.28000000000,-0.35600,0.00
-318.24000000000,-0.36000,0.00
-318.20000000000,-0.35600,0.00
-318.16000000000,-0.35600,0.00
-318.12000000000,-0.36800,0.00
-318.07997500000,-0.36000,0.00
-318.04000000000,-0.36800,0.00
-318.00000000000,-0.36400,0.00
-317.96000000000,-0.36800,0.00
-317.92002500000,-0.36000,0.00
-317.88000000000,-0.36400,0.00
-317.84000000000,-0.35200,0.00
-317.80000000000,-0.35600,0.00
-317.76000000000,-0.36400,0.00
-317.72000000000,-0.35600,0.00
-317.68000000000,-0.35600,0.00
-317.64002500000,-0.34800,0.00
-317.60000000000,-0.35200,0.00
-317.56000000000,-0.36400,0.00
-317.52000000000,-0.36000,0.00
-317.48000000000,-0.36400,0.00
-317.44000000000,-0.36000,0.00
-317.40000000000,-0.35600,0.00
-317.35997500000,-0.36000,0.00
-317.32000000000,-0.36000,0.00
-317.28000000000,-0.35200,0.00
-317.24000000000,-0.36400,0.00
-317.20000000000,-0.35200,0.00
-317.16000000000,-0.35200,0.00
-317.12000000000,-0.36400,0.00
-317.07997500000,-0.36400,0.00
-317.04000000000,-0.35600,0.00
-317.00000000000,-0.36400,0.00
-316.96000000000,-0.36400,0.00
-316.92002500000,-0.36400,0.00
-316.88000000000,-0.35600,0.00
-316.84000000000,-0.35200,0.00
-316.80000000000,-0.35600,0.00
-316.76000000000,-0.36400,0.00
-316.72000000000,-0.35600,0.00
-316.68000000000,-0.36000,0.00
-316.64002500000,-0.34800,0.00
-316.60000000000,-0.35200,0.00
-316.56000000000,-0.36000,0.00
-316.52000000000,-0.36000,0.00
-316.48000000000,-0.36400,0.00
-316.44000000000,-0.36400,0.00
-316.40000000000,-0.34800,0.00
-316.35997500000,-0.36000,0.00
-316.32000000000,-0.36000,0.00
-316.28000000000,-0.36000,0.00
-316.24000000000,-0.36000,0.00
-316.20000000000,-0.35600,0.00
-316.16000000000,-0.35200,0.00
-316.12000000000,-0.36400,0.00
-316.07997500000,-0.35600,0.00
-316.04000000000,-0.36800,0.00
-316.00000000000,-0.36400,0.00
-315.96000000000,-0.36400,0.00
-315.92002500000,-0.35600,0.00
-315.88000000000,-0.36000,0.00
-315.84000000000,-0.35200,0.00
-315.80000000000,-0.35600,0.00
-315.76000000000,-0.35200,0.00
-315.72000000000,-0.35600,0.00
-315.68000000000,-0.35200,0.00
-315.64002500000,-0.35200,0.00
-315.60000000000,-0.35200,0.00
-315.56000000000,-0.35600,0.00
-315.52000000000,-0.36400,0.00
-315.48000000000,-0.36400,0.00
-315.44000000000,-0.35600,-0.04000
-315.40000000000,-0.35200,0.00
-315.35997500000,-0.36400,0.00
-315.32000000000,-0.35200,0.00
-315.28000000000,-0.36000,0.00
-315.24000000000,-0.36000,0.00
-315.20000000000,-0.36000,0.00
-315.16000000000,-0.36000,0.00
-315.12000000000,-0.36400,0.00
-315.07997500000,-0.39200,-0.04000
-315.04000000000,-0.35600,0.00
-315.00000000000,-0.36400,0.00
-314.96000000000,-0.36800,0.00
-314.92002500000,-0.36000,0.00
-314.88000000000,-0.35600,0.00
-314.84000000000,-0.35600,0.00
-314.80000000000,-0.35200,0.00
-314.76000000000,-0.35600,0.00
-314.72000000000,-0.35200,0.00
-314.68000000000,-0.35600,0.00
-314.64002500000,-0.35200,0.00
-314.60000000000,-0.35200,0.00
-314.56000000000,-0.35200,0.00
-314.52000000000,-0.35200,0.00
-314.48000000000,-0.35600,0.00
-314.44000000000,-0.35600,0.00
-314.40000000000,-0.36800,0.00
-314.35997500000,-0.36400,0.00
-314.32000000000,-0.36400,0.00
-314.28000000000,-0.35600,0.00
-314.24000000000,-0.35600,0.00
-314.20000000000,-0.35600,0.00
-314.16000000000,-0.36800,0.00
-314.12000000000,-0.35600,0.00
-314.07997500000,-0.36000,0.00
-314.04000000000,-0.36400,0.00
-314.00000000000,-0.35600,0.00
-313.96000000000,-0.36800,0.00
-313.92002500000,-0.36400,0.00
-313.88000000000,-0.35600,0.00
-313.84000000000,-0.35600,0.00
-313.80000000000,-0.36400,0.00
-313.76000000000,-0.35600,0.00
-313.72000000000,-0.36400,0.00
-313.68000000000,-0.36400,0.00
-313.64002500000,-0.35200,0.00
-313.60000000000,-0.35600,0.00
-313.56000000000,-0.35600,0.00
-313.52000000000,-0.36000,0.00
-313.48000000000,-0.36400,0.00
-313.44000000000,-0.36000,0.00
-313.40000000000,-0.35200,0.00
-313.35997500000,-0.35600,0.00
-313.32000000000,-0.35200,0.00
-313.28000000000,-0.36000,0.00
-313.24000000000,-0.36000,0.00
-313.20000000000,-0.36000,0.00
-313.16000000000,-0.35600,0.00
-313.12000000000,-0.36000,0.00
-313.07997500000,-0.36400,0.00
-313.04000000000,-0.36000,0.00
-313.00000000000,-0.35600,0.00
-312.96000000000,-0.36000,0.00
-312.92002500000,-0.36400,0.00
-312.88000000000,-0.35600,0.00
-312.84000000000,-0.36400,0.00
-312.80000000000,-0.35200,0.00
-312.76000000000,-0.35600,0.00
-312.72000000000,-0.35600,0.00
-312.68000000000,-0.35600,0.00
-312.64002500000,-0.36000,0.00
-312.60000000000,-0.35200,0.00
-312.56000000000,-0.35200,0.00
-312.52000000000,-0.35600,0.00
-312.48000000000,-0.35600,0.00
-312.44000000000,-0.36000,0.00
-312.40000000000,-0.35200,0.00
-312.35997500000,-0.35600,0.00
-312.32000000000,-0.35600,0.00
-312.28000000000,-0.36000,0.00
-312.24000000000,-0.35600,0.00
-312.20000000000,-0.35200,0.00
-312.16000000000,-0.35200,0.00
-312.12000000000,-0.36400,0.00
-312.07997500000,-0.35600,0.00
-312.04000000000,-0.36800,0.00
-312.00000000000,-0.36400,0.00
-311.96000000000,-0.36400,0.00
-311.92002500000,-0.35600,0.00
-311.88000000000,-0.35600,0.00
-311.84000000000,-0.36000,0.00
-311.80000000000,-0.35600,0.00
-311.76000000000,-0.35600,0.00
-311.72000000000,-0.35200,0.00
-311.68000000000,-0.35600,0.00
-311.64002500000,-0.35200,0.00
-311.60000000000,-0.35200,0.00
-311.56000000000,-0.35600,0.00
-311.52000000000,-0.35600,0.00
-311.48000000000,-0.35600,0.00
-311.44000000000,-0.35600,0.00
-311.40000000000,-0.36400,0.00
-311.35997500000,-0.36000,0.00
-311.32000000000,-0.35600,0.00
-311.28000000000,-0.36000,0.00
-311.24000000000,-0.36400,0.00
-311.20000000000,-0.35600,0.00
-311.16000000000,-0.35600,0.00
-311.12000000000,-0.36000,0.00
-311.07997500000,-0.36400,0.00
-311.04000000000,-0.36400,0.00
-311.00000000000,-0.37200,0.00
-310.96000000000,-0.35200,0.04000
-310.92002500000,-0.36000,0.00
-310.88000000000,-0.36000,0.00
-310.84000000000,-0.35600,0.00
-310.80000000000,-0.35200,0.00
-310.76000000000,-0.36000,0.00
-310.72000000000,-0.35600,0.00
-310.68000000000,-0.35600,0.00
-310.64002500000,-0.35200,0.00
-310.60000000000,-0.35600,0.00
-310.56000000000,-0.35200,0.00
-310.52000000000,-0.35600,0.00
-310.48000000000,-0.36400,0.00
-310.44000000000,-0.36800,0.00
-310.40000000000,-0.35200,0.00
